샘플ID,계약서_유형,조항_번호,조항_원문,독소여부,독소_유형,위험도_등급,위험도_근거_법조항,비고
C001,전월세 계약서,제1조,"임차인은 임차보증금 [금액]원을 계약 체결일에 계약금으로 [금액]원, 잔금은 [날짜]에 지급한다.",정상,—,초록,주택임대차보호법 제3조의2(보증금의 회수),표준 보증금 지급 조항
C002,전월세 계약서,제3조,임대인은 임차인에게 임대차계약 종료 후 30일 이내에 보증금 전액을 반환한다.,정상,—,초록,주택임대차보호법 제3조(대항력 등),세입자 보호 표준 조항
C003,전월세 계약서,제5조,"임차인은 임차주택을 계약 목적 이외의 용도로 사용할 수 없으며, 임대인의 동의 없이 전대할 수 없다.",정상,—,초록,"민법 제629조(임차권의 양도, 전대의 제한)",일반적인 사용 목적 제한
C004,전월세 계약서,제4조,"임차인은 계약 기간 만료 6개월 전에 계약 해지 의사를 통보하지 않을 경우, 자동으로 동일 조건으로 계약이 2년 갱신된다. 임차인이 이를 어길 경우 보증금의 10%를 위약금으로 납부하여야 한다.",독소,묵시적 갱신 거부,빨강,주택임대차보호법 제6조(계약의 갱신) — 세입자 갱신 거절권 침해. 동법 제10조(강행규정) 위반 가능성,자동 갱신 + 과도한 위약금 결합
C005,전월세 계약서,제7조,"계약 기간 중 임차인의 사정으로 계약을 해지할 경우, 임차인은 잔여 계약 기간의 월세 전액을 임대인에게 지급하여야 한다.",독소,임대인 일방 해지 조항,빨강,주택임대차보호법 제6조의3(묵시적 갱신 시 해지) 정신에 반함. 민법 제398조(손해배상액의 예정) 과잉 손해배상 가능성,잔여 전액 청구는 세입자 귀책 사유 없는 경우 무효 가능
C006,전월세 계약서,제9조,"임차인은 임대차 기간 중 발생하는 모든 시설의 수리·보수 비용을 부담한다. 단, 천재지변으로 인한 경우는 제외한다.",독소,수리비 세입자 부담,빨강,민법 제623조(임대인의 의무) — 임대인의 수선의무 면탈. 주택임대차보호법 제10조(강행규정) 위반 소지,소규모 수선을 세입자 부담으로 하는 것은 허용되나 전면 면탈은 무효 판례 다수
C007,전월세 계약서,제10조,"임대인은 임대차 기간 중 언제든지 2개월 전 통보로 계약을 해지할 수 있으며, 이 경우 임차인은 즉시 퇴거하여야 한다.",독소,임대인 일방 해지 조항,빨강,주택임대차보호법 제4조(임대차기간) — 임차인 거주 기간 보호 침해. 동법 제10조(강행규정),임대인 일방적 중도 해지는 원칙적 불가 (강행규정 위반)
C008,전월세 계약서,제6조,임차인은 임차주택 내 발생하는 모든 소음·냄새 등 생활불편으로 인한 민원에 대하여 임대인에게 책임을 묻지 않는다.,독소,책임 면탈 조항,노랑,"민법 제214조(소유물방해제거, 예방청구권) 관련",분쟁 소지 있으나 일부 허용 범위
C009,전월세 계약서,제8조,"임차인이 계약 만료 1개월 전까지 연락이 없을 경우, 임대인은 보증금에서 다음 달 차임을 공제할 수 있다.",독소,보증금 일방 공제,노랑,주택임대차보호법 제3조의2(보증금의 회수) — 일방적 공제 불가 원칙,합의 없는 일방 공제는 부당이득반환 청구 대상
C010,전월세 계약서,제11조,"임차인은 계약 기간 중 실내 도배·장판 등 인테리어 변경 시 사전에 서면 동의를 받아야 하며, 퇴실 시 원상복구를 하여야 한다. 원상복구 비용은 보증금에서 우선 공제한다.",독소,과도한 원상복구 의무,노랑,"민법 제654조, 제615조(원상회복의무) — 통상적 사용에 의한 마모는 임차인 부담 아님",인테리어 무단 변경 방지 목적은 타당하나 보증금 우선 공제 조항 문제
C011,전월세 계약서,제2조,임대차 기간은 계약일로부터 2년으로 한다. 임차인은 2년 미만의 기간을 원할 경우 그 기간을 주장할 수 없다.,정상,—,초록,주택임대차보호법 제4조(임대차기간) — 최단 기간 2년 보장,표준 임대차 기간 조항
C012,전월세 계약서,제12조,계약 해지 또는 만료 시 임대인은 보증금 반환과 동시에 임차인은 주택을 명도하고 임차권등기를 말소한다.,정상,—,초록,주택임대차보호법 제3조의3(임차권등기명령),동시이행 원칙 반영 표준 조항
